site,percent.sm,N,P,K,xK,Na,xNA,Ca,Mg,cec,om,ph,ca_mg,productivity
1,13.9,2.31,2.6,94,0.24,8,0.03,3.58,23.15,27,3.09,6.76,0.154643629,10.54166667
2,12.3,4.35,4.5,164,0.42,6,0.02,3.2,19.51,23.2,3.8,6.82,0.164018452,6.131666667
3,15.2,14.35,6.2,197,0.5,4,0.02,3.75,19.02,23.3,3.82,7.21,0.197160883,40.05
4,15,0.69,1.3,57,0.15,6,0.03,2.15,18.22,20.5,2.19,6.98,0.118002195,2.964666667
5,14.3,3.45,3.7,273,0.7,12,0.05,4.92,28.04,33.7,3.6,6.95,0.175463623,15.305
6,12.8,4.54,3.9,149,0.38,8,0.04,3.37,19.19,23,3.9,7.11,0.175612298,36.325
7,21.6,1.94,5.6,206,0.53,9,0.04,5.48,23.28,29.3,3.65,7.07,0.235395189,39.66333333
8,14.3,7.45,3.2,198,0.51,7,0.03,3.98,28.18,32.7,4.63,6.98,0.141234918,28.115
9,27.7,4.93,4.5,89,0.23,9,0.04,1.39,22.38,24,4.3,7.46,0.062109026,40.78833333
10,19.8,3.43,4,316,0.81,10,0.04,2.75,36.16,39.8,3.84,7.18,0.076050885,22.21833333
11,14.1,3.55,4.1,258,0.66,9,0.04,3.66,27.53,31.9,4.03,6.79,0.132945877,17.86833333
12,14.8,3.29,3,172,0.44,11,0.05,5.8,22.8,29.1,4.23,6.55,0.254385965,37.69333333
13,12,3.62,5,199,0.51,8,0.03,3.08,20.88,24.5,3.89,6.75,0.147509579,28.71333333
14,20.9,3.38,3.4,199,0.51,9,0.04,2.61,22.58,25.7,3.88,6.64,0.115589017,26.74166667
15,17.3,3.27,8.1,279,0.71,10,0.05,4.05,28.1,32.9,4.36,6.58,0.144128114,39.73833333
16,11.3,2.56,2.1,193,0.49,6,0.03,3.04,24.53,28.1,3.13,6.55,0.123929882,17.57333333
17,8.9,2.8,3,267,0.68,5,0.02,3.92,22.11,26.7,3.5,6.75,0.177295341,31.84833333
18,11.9,3.07,1.9,112,0.29,8,0.03,3.75,21.93,26,3.95,7.01,0.170998632,18.145
19,8.8,2.99,2.5,159,0.41,6,0.03,3.58,22.52,26.5,3.7,6.74,0.158969805,6.555883333
20,9.4,4.43,2.2,171,0.44,8,0.03,5.25,24.42,30.1,4.03,6.49,0.214987715,9.88835
21,9,2.55,6.8,252,0.65,6,0.03,2.62,16.27,19.6,4.13,6.69,0.161032575,50.12166667
22,10.6,5.95,7.6,190,0.48,7,0.03,3.43,22.22,26.2,4.92,6.65,0.154365437,45.33
23,19.8,5,6.8,374,0.96,10,0.04,2.06,35.24,38.3,4.21,7.47,0.0584563,41.69142857
24,7.7,2.47,14.1,280,0.72,9,0.04,4.27,18.7,23.7,4.7,6.6,0.228342246,38.36666667
25,8.3,1.78,8.7,200,0.51,52,0.023,4.1,18.68,23.5,4.08,6.67,0.219486081,32.8075
26,16.3,0.9,1,35,0.09,15,0.07,10.28,11.39,21.8,1.49,7.8,0.902546093,13.28833333
27,8,2.22,2.2,38,0.1,5,0.02,1.87,11.58,13.6,2.08,7.04,0.16148532,13.94833333
28,10.6,3.28,2.1,54,0.14,5,0.02,1.97,14.32,16.4,2.48,6.98,0.137569832,4.051166667
29,8.7,2.36,2.2,50,0.13,4,0.02,3.3,9.89,13.3,2.48,7.22,0.333670374,17.08166667
30,11.3,2.63,3.9,113,0.29,5,0.02,1.88,19.55,21.7,4.38,7.15,0.096163683,42.405
grasshopper,,,,,,,,1.7,5.1,,1.5,6.2,0.34,
susan2,,,,,,,,,,,,,,
susan,,,,,,,,,,,,,,
susan,,,,,,,,,,,,,,
